Row_num,randread-512k,randread-512k,randread-512k,randread-512k,randread-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,randwrite-512k,read-512k,read-512k,read-512k,read-512k,read-512k,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq,write-512k-seq
89,2268.27,0.02,4536.0,0.22,0.2,614.0,0.58,1228.0,0.81,0.23,2327.0,0.01,4654.0,0.21,0.2,433.57,0.95,867.0,1.15,0.2
90,2192.69,0.02,4385.0,0.23,0.21,535.03,0.71,1070.0,0.93,0.22,2361.0,0.02,4722.0,0.21,0.19,437.44,0.94,874.0,1.14,0.21
91,2359.5,0.01,4719.0,0.21,0.19,513.5,0.75,1027.0,0.97,0.22,2369.0,0.02,4738.0,0.21,0.19,430.43,0.92,860.0,1.16,0.24
92,2269.27,0.02,4538.0,0.22,0.2,485.49,0.81,970.0,1.03,0.22,2351.5,0.02,4703.0,0.21,0.19,432.5,0.92,865.0,1.15,0.23
93,2263.0,0.01,4526.0,0.22,0.2,475.98,0.82,951.0,1.05,0.23,2282.5,0.01,4565.0,0.22,0.2,437.94,0.92,875.0,1.14,0.22
94,2210.71,0.02,4421.0,0.22,0.21,472.5,0.84,945.0,1.06,0.22,2359.5,0.02,4719.0,0.21,0.19,442.0,0.91,884.0,1.13,0.22
95,2264.5,0.01,4529.0,0.22,0.2,443.0,0.91,886.0,1.12,0.21,2343.84,0.02,4687.0,0.21,0.19,436.44,0.93,872.0,1.15,0.22
96,2265.5,0.02,4531.0,0.22,0.2,423.42,0.96,846.0,1.17,0.21,2381.0,0.02,4762.0,0.21,0.19,435.43,0.93,870.0,1.14,0.21
97,2251.5,0.02,4503.0,0.22,0.2,421.42,0.96,842.0,1.19,0.23,2327.33,0.02,4654.0,0.21,0.2,432.0,0.95,864.0,1.16,0.21
98,2258.5,0.01,4517.0,0.22,0.2,406.0,1.0,812.0,1.23,0.23,2371.5,0.02,4743.0,0.21,0.19,419.0,0.97,838.0,1.19,0.22
99,2217.22,0.01,4434.0,0.22,0.21,398.4,1.02,796.0,1.25,0.23,2400.0,0.02,4800.0,0.21,0.19,424.0,0.96,848.0,1.18,0.21
100,2330.33,0.02,4660.0,0.21,0.2,411.0,0.99,822.0,1.22,0.23,2358.0,0.02,4716.0,0.21,0.19,420.42,0.96,840.0,1.19,0.22
101,2261.0,0.02,4522.0,0.22,0.2,414.0,0.97,828.0,1.2,0.23,2320.82,0.02,4641.0,0.21,0.2,434.43,0.93,868.0,1.15,0.22
102,2238.5,0.02,4477.0,0.22,0.2,404.9,1.0,809.0,1.23,0.23,2295.5,0.02,4591.0,0.22,0.2,420.0,0.97,840.0,1.19,0.22
103,2232.23,0.01,4464.0,0.22,0.21,393.89,1.05,787.0,1.27,0.21,2365.0,0.02,4731.0,0.21,0.19,433.43,0.94,866.0,1.15,0.21
104,2258.5,0.01,4517.0,0.22,0.2,409.0,1.01,818.0,1.22,0.21,2394.0,0.02,4788.0,0.21,0.19,432.0,0.94,864.0,1.16,0.22
105,2288.0,0.02,4576.0,0.22,0.2,409.0,1.0,818.0,1.22,0.22,2399.0,0.02,4798.0,0.21,0.19,430.0,0.94,860.0,1.16,0.22
106,2240.74,0.02,4481.0,0.22,0.2,394.89,1.05,789.0,1.26,0.21,2316.5,0.02,4633.0,0.21,0.2,440.44,0.91,880.0,1.13,0.22
107,2254.5,0.02,4509.0,0.22,0.2,397.9,1.02,795.0,1.25,0.24,2369.87,0.02,4739.0,0.21,0.19,434.0,0.93,868.0,1.15,0.22
108,2218.0,0.01,4436.0,0.22,0.21,397.5,1.03,795.0,1.26,0.22,2406.5,0.02,4813.0,0.21,0.19,425.0,0.96,850.0,1.18,0.22
109,2337.84,0.01,4675.0,0.21,0.2,403.5,1.01,807.0,1.24,0.23,2403.5,0.02,4807.0,0.21,0.19,438.88,0.93,877.0,1.14,0.2
110,2271.0,0.01,4542.0,0.22,0.2,407.41,0.99,814.0,1.22,0.24,2339.0,0.02,4678.0,0.21,0.2,427.57,0.96,855.0,1.17,0.2
111,2262.5,0.01,4525.0,0.22,0.2,580.92,0.61,1161.0,0.86,0.25,2372.5,0.02,4745.0,0.21,0.19,428.43,0.96,856.0,1.16,0.2
112,2243.74,0.01,4487.0,0.22,0.21,593.09,0.59,1186.0,0.84,0.25,2371.0,0.02,4742.0,0.21,0.19,442.0,0.93,884.0,1.13,0.2
113,2226.5,0.02,4453.0,0.22,0.21,576.0,0.64,1152.0,0.86,0.23,2358.0,0.01,4716.0,0.21,0.19,447.45,0.91,894.0,1.11,0.2
114,2274.27,0.02,4548.0,0.22,0.2,517.02,0.74,1034.0,0.97,0.23,2349.85,0.01,4699.0,0.21,0.2,430.93,0.95,861.0,1.16,0.21
115,2258.5,0.02,4517.0,0.22,0.2,487.5,0.8,975.0,1.01,0.22,2325.0,0.02,4650.0,0.21,0.2,440.5,0.92,881.0,1.13,0.21
116,2248.25,0.02,4496.0,0.22,0.2,486.49,0.81,972.0,1.03,0.22,2389.0,0.02,4778.0,0.21,0.19,432.0,0.95,864.0,1.15,0.2
117,2185.69,0.02,4371.0,0.23,0.21,445.5,0.88,891.0,1.12,0.24,2392.5,0.02,4785.0,0.21,0.19,441.0,0.93,882.0,1.13,0.2
118,2253.5,0.01,4507.0,0.22,0.2,452.0,0.86,904.0,1.1,0.24,2370.0,0.02,4740.0,0.21,0.19,426.43,0.97,852.0,1.17,0.2
119,2253.5,0.02,4507.0,0.22,0.2,426.5,0.94,853.0,1.17,0.23,2292.79,0.02,4585.0,0.22,0.2,428.0,0.97,856.0,1.17,0.2
120,2259.5,0.02,4519.0,0.22,0.2,424.92,0.94,849.0,1.18,0.23,2375.5,0.02,4751.0,0.21,0.19,430.43,0.96,860.0,1.16,0.2
121,2256.0,0.02,4512.0,0.22,0.2,416.42,0.97,832.0,1.19,0.23,2386.89,0.02,4773.0,0.21,0.19,438.44,0.94,876.0,1.14,0.19
122,2248.75,0.02,4497.0,0.22,0.2,403.5,1.0,807.0,1.24,0.23,2370.0,0.02,4740.0,0.21,0.19,436.0,0.95,872.0,1.14,0.2
123,2363.0,0.01,4726.0,0.21,0.19,414.0,0.97,828.0,1.2,0.23,2276.0,0.02,4552.0,0.22,0.2,424.0,0.98,848.0,1.18,0.2
124,2272.27,0.02,4544.0,0.22,0.2,405.91,1.0,811.0,1.23,0.23,2327.0,0.02,4654.0,0.21,0.2,422.5,0.98,845.0,1.18,0.2
125,2250.5,0.02,4501.0,0.22,0.2,392.0,1.04,784.0,1.27,0.23,2357.0,0.02,4714.0,0.21,0.19,417.5,1.0,835.0,1.2,0.2
126,2198.0,0.02,4396.0,0.22,0.21,387.39,1.06,774.0,1.29,0.23,2392.39,0.02,4784.0,0.21,0.19,437.94,0.93,875.0,1.14,0.21
127,2349.0,0.01,4698.0,0.21,0.19,391.5,1.04,783.0,1.27,0.22,2332.5,0.02,4665.0,0.21,0.2,431.5,0.94,863.0,1.16,0.22
128,2311.0,0.01,4622.0,0.21,0.2,398.4,1.04,796.0,1.25,0.22,2327.83,0.02,4655.0,0.21,0.2,437.44,0.92,874.0,1.14,0.22
129,2273.77,0.02,4547.0,0.22,0.2,397.9,1.04,795.0,1.26,0.21,2323.0,0.02,4646.0,0.21,0.2,437.44,0.92,874.0,1.14,0.22
130,2278.28,0.02,4556.0,0.22,0.2,398.0,1.03,796.0,1.25,0.22,2345.0,0.02,4690.0,0.21,0.19,439.0,0.92,878.0,1.14,0.21
131,2265.0,0.02,4530.0,0.22,0.2,403.4,1.03,806.0,1.24,0.21,2349.0,0.02,4698.0,0.21,0.19,433.93,0.93,867.0,1.15,0.22
132,2345.0,0.02,4690.0,0.21,0.2,403.0,1.01,806.0,1.24,0.22,2259.26,0.02,4518.0,0.22,0.2,444.5,0.92,889.0,1.12,0.2
133,2274.77,0.01,4549.0,0.22,0.2,393.39,1.05,786.0,1.27,0.21,2368.0,0.02,4736.0,0.21,0.19,429.0,0.95,858.0,1.16,0.21
134,2288.5,0.02,4577.0,0.22,0.2,560.06,0.68,1120.0,0.89,0.22,2385.89,0.01,4771.0,0.21,0.19,427.43,0.96,854.0,1.17,0.21
135,2186.0,0.02,4372.0,0.23,0.21,605.5,0.6,1211.0,0.82,0.22,2371.5,0.02,4743.0,0.21,0.19,438.44,0.94,876.0,1.14,0.2
136,2338.34,0.02,4676.0,0.21,0.2,575.58,0.64,1151.0,0.87,0.23,2341.0,0.01,4682.0,0.21,0.2,424.0,0.98,848.0,1.18,0.2
137,2310.5,0.02,4621.0,0.21,0.2,514.5,0.75,1029.0,0.97,0.22,2372.5,0.02,4745.0,0.21,0.19,424.42,0.98,848.0,1.18,0.2
138,2270.5,0.01,4541.0,0.22,0.2,509.0,0.75,1018.0,0.98,0.22,2383.88,0.01,4767.0,0.21,0.19,428.0,0.96,856.0,1.17,0.21
139,2237.24,0.02,4474.0,0.22,0.2,455.5,0.88,911.0,1.1,0.21,2385.0,0.02,4770.0,0.21,0.19,425.42,0.96,850.0,1.17,0.21
140,2254.0,0.01,4508.0,0.22,0.2,453.95,0.88,907.0,1.09,0.22,2342.34,0.02,4684.0,0.21,0.2,426.0,0.98,852.0,1.18,0.19
141,2321.5,0.02,4643.0,0.21,0.2,438.5,0.92,877.0,1.13,0.22,2283.0,0.02,4566.0,0.22,0.2,436.44,0.94,872.0,1.14,0.2
142,2279.0,0.02,4558.0,0.22,0.2,443.44,0.91,886.0,1.13,0.21,2371.0,0.02,4742.0,0.21,0.19,427.43,0.97,854.0,1.17,0.19
143,2269.0,0.01,4538.0,0.22,0.2,432.0,0.93,864.0,1.15,0.22,2373.0,0.02,4746.0,0.21,0.19,431.5,0.97,863.0,1.16,0.19
144,2179.68,0.01,4359.0,0.23,0.21,407.5,1.01,815.0,1.23,0.22,2385.5,0.02,4771.0,0.21,0.19,436.5,0.93,873.0,1.14,0.22
145,2351.5,0.02,4703.0,0.21,0.19,411.5,1.0,823.0,1.21,0.21,2296.5,0.02,4593.0,0.22,0.2,434.0,0.95,868.0,1.15,0.2
146,2308.5,0.01,4617.0,0.21,0.2,419.42,0.98,838.0,1.18,0.21,2375.38,0.02,4750.0,0.21,0.19,428.43,0.97,856.0,1.17,0.2
147,2295.29,0.01,4590.0,0.21,0.2,400.5,1.04,801.0,1.25,0.21,2382.0,0.02,4764.0,0.21,0.19,414.0,1.01,828.0,1.2,0.2
148,2304.5,0.01,4609.0,0.21,0.2,404.4,1.03,808.0,1.24,0.21,2360.5,0.01,4721.0,0.21,0.19,419.42,0.98,838.0,1.19,0.22
149,2281.5,0.02,4563.0,0.22,0.2,397.9,1.02,795.0,1.25,0.23,2293.5,0.02,4587.0,0.22,0.2,431.43,0.95,862.0,1.15,0.21
150,2351.0,0.01,4702.0,0.21,0.2,403.0,1.01,806.0,1.24,0.23,2317.82,0.02,4635.0,0.21,0.2,440.0,0.93,880.0,1.13,0.2
151,2299.3,0.02,4598.0,0.21,0.2,386.89,1.06,773.0,1.28,0.23,2330.5,0.02,4661.0,0.21,0.19,438.0,0.94,876.0,1.14,0.2
152,2252.5,0.02,4504.0,0.22,0.2,410.5,0.99,821.0,1.22,0.23,2355.0,0.01,4710.0,0.21,0.2,436.44,0.94,872.0,1.14,0.2
153,2213.0,0.01,4426.0,0.22,0.21,405.0,1.0,810.0,1.23,0.23,2334.0,0.02,4668.0,0.21,0.2,431.43,0.96,862.0,1.16,0.2
154,2319.32,0.02,4638.0,0.21,0.2,397.5,1.01,795.0,1.25,0.25,2286.29,0.01,4572.0,0.22,0.2,437.0,0.92,874.0,1.14,0.22
155,2318.5,0.02,4637.0,0.21,0.2,402.9,1.0,805.0,1.24,0.24,2381.0,0.01,4762.0,0.21,0.19,430.0,0.96,860.0,1.16,0.2
156,2268.27,0.01,4536.0,0.22,0.2,408.91,0.98,817.0,1.22,0.25,2358.0,0.02,4716.0,0.21,0.19,432.43,0.96,864.0,1.16,0.2
157,2248.0,0.02,4496.0,0.22,0.2,539.5,0.69,1079.0,0.92,0.23,2356.5,0.01,4713.0,0.21,0.19,432.0,0.96,864.0,1.15,0.2
158,2286.0,0.01,4572.0,0.22,0.2,603.6,0.59,1207.0,0.83,0.24,2273.77,0.01,4547.0,0.22,0.2,429.0,0.96,858.0,1.16,0.2
159,2293.5,0.02,4587.0,0.21,0.2,598.1,0.58,1196.0,0.83,0.24,2314.0,0.02,4628.0,0.21,0.2,430.0,0.96,860.0,1.17,0.21
160,2100.1,0.02,4200.0,0.24,0.22,518.0,0.72,1036.0,0.96,0.24,2321.5,0.02,4643.0,0.21,0.19,434.43,0.95,868.0,1.14,0.2
161,2279.5,0.02,4559.0,0.22,0.2,495.0,0.77,990.0,1.01,0.24,2343.0,0.02,4686.0,0.21,0.2,428.43,0.97,856.0,1.16,0.19
162,2197.0,0.02,4394.0,0.22,0.21,476.0,0.8,952.0,1.04,0.24,2330.33,0.02,4660.0,0.21,0.2,435.0,0.94,870.0,1.15,0.21
163,2321.5,0.01,4643.0,0.21,0.2,442.94,0.88,885.0,1.13,0.24,2303.0,0.02,4606.0,0.21,0.2,432.0,0.92,864.0,1.15,0.23
164,2261.76,0.02,4523.0,0.22,0.2,424.92,0.94,849.0,1.18,0.23,2395.5,0.01,4791.0,0.21,0.19,432.0,0.94,864.0,1.15,0.22
165,2250.5,0.02,4501.0,0.22,0.2,439.0,0.9,878.0,1.13,0.23,2371.0,0.02,4742.0,0.21,0.19,428.43,0.96,856.0,1.17,0.21
166,2246.0,0.02,4492.0,0.22,0.2,423.92,0.96,847.0,1.18,0.22,2411.5,0.02,4823.0,0.2,0.19,428.0,0.94,856.0,1.16,0.22
167,2223.22,0.01,4446.0,0.22,0.21,369.0,1.28,738.0,1.5,0.23,2310.81,0.02,4621.0,0.21,0.2,428.43,0.95,856.0,1.17,0.22
168,2320.0,0.01,4640.0,0.21,0.2,362.36,0.99,724.0,1.22,0.23,2395.5,0.02,4791.0,0.21,0.19,437.44,0.93,874.0,1.14,0.21
169,2282.5,0.02,4565.0,0.22,0.2,406.41,1.02,812.0,1.23,0.21,2354.35,0.02,4708.0,0.21,0.19,429.0,0.94,858.0,1.16,0.22
170,2280.28,0.01,4560.0,0.22,0.2,421.0,0.97,842.0,1.18,0.21,2358.0,0.01,4716.0,0.21,0.19,423.0,0.96,846.0,1.18,0.22
171,2211.5,0.02,4423.0,0.22,0.21,421.0,0.97,842.0,1.19,0.22,2293.0,0.01,4586.0,0.22,0.2,420.0,0.97,840.0,1.19,0.21
172,2330.83,0.02,4661.0,0.21,0.2,412.91,0.99,825.0,1.21,0.22,2362.5,0.02,4725.0,0.21,0.19,428.5,0.95,857.0,1.17,0.21
173,2299.5,0.01,4599.0,0.21,0.2,397.4,1.04,794.0,1.25,0.21,2415.0,0.02,4830.0,0.2,0.19,424.92,0.96,849.0,1.18,0.21
174,2240.0,0.02,4480.0,0.22,0.2,409.5,1.01,819.0,1.22,0.21,2402.0,0.02,4804.0,0.21,0.19,430.0,0.93,860.0,1.16,0.23
175,2256.5,0.02,4513.0,0.22,0.2,387.0,1.05,774.0,1.29,0.24,2363.5,0.02,4727.0,0.21,0.19,440.0,0.94,880.0,1.13,0.2
176,2222.72,0.02,4445.0,0.22,0.21,395.9,1.02,791.0,1.26,0.24,2318.0,0.02,4636.0,0.21,0.2,441.0,0.93,882.0,1.13,0.2
177,2325.0,0.02,4650.0,0.21,0.2,404.0,0.98,808.0,1.24,0.25,2363.36,0.02,4726.0,0.21,0.19,442.44,0.93,884.0,1.13,0.2
178,2242.74,0.02,4485.0,0.22,0.2,405.91,0.99,811.0,1.23,0.24,2357.5,0.02,4715.0,0.21,0.19,443.0,0.93,886.0,1.13,0.2
179,2279.5,0.02,4559.0,0.22,0.2,405.5,0.99,811.0,1.23,0.24,2357.5,0.01,4715.0,0.21,0.19,422.0,0.98,844.0,1.18,0.2
180,0.0,0.02,0.0,0.23,0.21,0.0,0.73,0.0,0.97,0.24,0.0,0.02,0.0,0.22,0.2,0.0,0.96,0.0,1.17,0.21
